window_end_month,n_occurrences,n_documents,low_density
2019-08-01,23,11,True
2019-11-01,21,20,True
2019-12-01,23,20,True
2020-01-01,27,24,True
2020-02-01,20,9,True
2020-03-01,50,29,False
2020-04-01,63,42,False
2020-05-01,91,66,False
2020-06-01,90,66,False
2020-07-01,95,67,False
2020-08-01,69,53,False
2020-09-01,50,43,False
2020-10-01,35,32,False
2020-11-01,65,46,False
2020-12-01,98,58,False
2021-01-01,107,64,False
2021-02-01,161,82,False
2021-03-01,203,100,False
2021-04-01,219,109,False
2021-05-01,159,90,False
2021-06-01,104,70,False
2021-07-01,82,58,False
2021-08-01,52,40,False
2021-09-01,53,43,False
2021-10-01,92,58,False
2021-11-01,117,64,False
2021-12-01,92,42,False
2022-01-01,64,24,False
2022-02-01,42,18,False
2022-03-01,36,17,False
2022-04-01,23,16,True
2022-05-01,24,19,True
2022-06-01,20,17,True
2022-07-01,53,19,False
2022-08-01,52,12,False
2022-09-01,74,21,False
2022-10-01,62,28,False
2022-11-01,77,33,False
2022-12-01,83,44,False
2023-01-01,93,40,False
2023-02-01,131,43,False
2023-03-01,143,29,False
