window_end_month,n_documents,n_occurrences,low_density,density_ratio
2019-08-01,11,23,True,2.090909090909091
2019-11-01,20,21,True,1.05
2019-12-01,20,23,True,1.15
2020-01-01,24,27,True,1.125
2020-02-01,9,20,True,2.2222222222222223
2020-03-01,29,50,False,1.7241379310344827
2020-04-01,42,63,False,1.5
2020-05-01,66,91,False,1.378787878787879
2020-06-01,66,90,False,1.3636363636363635
2020-07-01,67,95,False,1.4179104477611941
2020-08-01,53,69,False,1.3018867924528301
2020-09-01,43,50,False,1.1627906976744187
2020-10-01,32,35,False,1.09375
2020-11-01,46,65,False,1.4130434782608696
2020-12-01,58,98,False,1.6896551724137931
2021-01-01,64,107,False,1.671875
2021-02-01,82,161,False,1.9634146341463414
2021-03-01,100,203,False,2.03
2021-04-01,109,219,False,2.0091743119266057
2021-05-01,90,159,False,1.7666666666666666
2021-06-01,70,104,False,1.4857142857142858
2021-07-01,58,82,False,1.4137931034482758
2021-08-01,40,52,False,1.3
2021-09-01,43,53,False,1.2325581395348837
2021-10-01,58,92,False,1.5862068965517242
2021-11-01,64,117,False,1.828125
2021-12-01,42,92,False,2.1904761904761907
2022-01-01,24,64,False,2.6666666666666665
2022-02-01,18,42,False,2.3333333333333335
2022-03-01,17,36,False,2.1176470588235294
2022-04-01,16,23,True,1.4375
2022-05-01,19,24,True,1.263157894736842
2022-06-01,17,20,True,1.1764705882352942
2022-07-01,19,53,False,2.789473684210526
2022-08-01,12,52,False,4.333333333333333
2022-09-01,21,74,False,3.5238095238095237
2022-10-01,28,62,False,2.2142857142857144
2022-11-01,33,77,False,2.3333333333333335
2022-12-01,44,83,False,1.8863636363636365
2023-01-01,40,93,False,2.325
2023-02-01,43,131,False,3.046511627906977
2023-03-01,29,143,False,4.931034482758621
