title,newspaper,url,published_at,plain_text,keyword,relevance_score,source
Albergue de niños con VIH requiere ayuda,atv.pe,https://www.atv.pe/actualidad/albergue-ninos--vih-requiere-ayuda-410147,2020-04-08 05:00:00+00:00,"ACTUALIDAD
Martes, 7 de Abril de 2020 | 10:29 pm
Albergue de niños con VIH requiere ayuda
Son 15 pequeños de diferentes edades que están necesitando apoyo durante esta pandemia
Cargando el player...
Frente esta crisis sanitaria que vive el país y el mundo, albergue de niños portadores de VIH están necesitando ayuda.
Son 15 pequeños de diferentes edades, algunos abandonados por sus padres y otros rescatados. Para apoyarlos puede donar a través de Yape al número 981 155 266.
EN VIVO las últimas NOTICIAS: TV EN VIVO en DIRECTO
Entérate de las ÚLTIMAS NOTICIAS del PERÚ y el MUNDO en VIVO
Las últimas NOTICIAS de ACTUALIDAD del PERÚ y el MUNDO",Yape,10.0,GDELT
Conoce cómo apoyar a # YoMeSumo en favor de familias más vulnerables,diariocorreo.pe,https://diariocorreo.pe/economia/conoce-como-apoyar-a-yomesumo-en-favor-de-familias-mas-vulnerables-economia-coronavirus-dinero-noticia/,2020-03-25 02:30:00+00:00,"A raíz de la decisión del Gobierno, de decretar el estado de emergencia y la cuarentena para evitar la propagación del coronavirus (COVID-19), el BCP inició una campaña a favor de casi tres millones de familias en situación de pobreza y pobreza extrema e invocó a otras empresas del sector privado, se sumen a esta cruzada nacional.
En ese sentido, desde ayer y hasta el 15 de abril, el BCP ha puesto a disposición todos sus canales digitales para que aquellos que quieren ayudar (empresas o personas) lo puedan hacer desde sus domicilios, respetando el estado de emergencia.
Así, a través de su “Banca Móvil” y “Yape”, plataformas virtuales, ha activado el botón #YoMeSumo, a través del cual se podrá donar cualquier monto. Hasta el momento se van donando S/ 375 mil por Yape y Banca Móvil.
Además, también se puede donar, a través de la Banca por Internet a Cuenta Corriente en Soles, Razón social: Emergencia Sanitaria Marzo 2020, CCI: 002- 191- 002676242046-56.
Los que no son clientes del BCP pueden hacer su donación, a través de una transferencia interbancaria en línea o diferida a Cuenta Corriente en Soles, Razón social: Emergencia Sanitaria Marzo 2020, CCI: 002- 191- 002676242046-56.
“Una vez recaudados los fondos, toda la donación y la de todos los peruanos se entregará a las 2.8 millones de familias que viven en estado de pobreza y pobreza extrema en el Perú”, señala el BCP en un comunicado.
Precisa que si, por alguna razón, esa ayuda no pudiese llegar a algunas familias, los fondos restantes serán entregados a la institución pública que más lo requiera, para la compra de equipos u otros implementos necesarios para atender la emergencia sanitaria.",Yape,20.0,GDELT
Natalie Vértiz inicia campaña para ayudar a policías y personal de salud,americatv.com.pe,https://www.americatv.com.pe/en-boca-de-todos/coronavirus-peru-natalie-vertiz-campana-ayudar-policias-y-personal-salud-noticia-117466,2020-04-28 22:30:00+00:00,"Natalie Vértiz inicia campaña para ayudar a policías y personal de salud.
Natalie Vértiz recaudará fondos junto a una ONG para comprar material biomédico y de protección.
Natalie Vértiz inició una campaña para recaudar fondos con el fin de ayudar a los policías y personal de salud que no cuentan con el material necesario para enfrentar la pandemia del coronavirus.
► Mira: Yaco Eskenazi: ""La foto de Natalie y Diego Boneta me dio un poco de cólera""
La modelo estuvo en enlace con En boca de todos y contó que se unió a la ONG ""Misión Huascarán"" para ayudar esta vez a nuestros héroes del día a día. La institución realizará un sorteo y los fondos servirán para comprar material biomédico y de protección.
► Mira: Yaco Eskenazi se conmovió con tierno mensaje en vivo de su hijo Liam
Natalie Vértiz detalló que la donación es de diez soles. Puede ser vía Yape al número 989291465 (María García Salazar) o número de cuenta BCP 191-98282702-0-55 (Fernando Matos Donayre).
Todos los episodios de En boca de todos en TVGO. ¡Suscríbete Ahora!
Yaco Eskenazi y Natalie Vértiz reaparecieron en televisión más juntos que nunca",Yape,10.0,GDELT
Coronavirus en Perú : Más de 12 mil personas han donado a la campaña # YoMeSumo en favor de las familias más vulnerables,rpp.pe,https://rpp.pe/peru/actualidad/coronavirus-en-peru-mas-de-12-mil-personas-han-donado-a-la-campana-yomesumo-en-favor-de-las-familias-mas-vulnerables-noticia-1254279,2020-03-26 03:45:00+00:00,"Coronavirus en Perú: Más de 12 mil personas han donado a la campaña #YoMeSumo en favor de las familias más vulnerables
La iniciativa del Banco de Crédito del Perú busca ayudar a 2.8 millones de familia en situación de pobreza y pobreza extrema en el país . Quienes deseen colaborar tienen hasta el 15 de abril para donar a través de los canales digitales del . Más detalles en la siguiente nota.
El Banco de Crédito del Perú (BCP) anunció que la campaña #YoMeSumo , en tan solo dos días, ha logrado recaudar 110 millones 717 mil soles en favor de las familias en situación de pobreza y pobreza extrema del país ante las medidas adoptadas por el Gobierno para frenar el avance del nuevo coronavirus . Mediante un comunicado, la entidad precisó que hasta el momento han participado más de 12 mil personas en esta iniciativa que busca ayudar a 2,8 millones de familias vulnerables. El ha puesto a disposición todos sus canales digitales hasta el 15 de abril para que quienes quieran ayudar (empresas o personas), lo hagan desde sus domicilios y respetando el estado de emergencia . Recaudados los fondos, toda la donación se entregará a las familias a nivel nacional. El no se beneficiará tributariamente de este monto recaudado y busca complementar y no duplicar los esfuerzos que realiza el Estado. En esa línea, el banco anunció que utilizarán la lista de beneficiarios del monto establecido por el Gobierno para entregarles los montos de la donación. La entidad financiera agregó que todo lo recaudado, su uso y entrega estarán sujetos a una auditoría de Price WaterHouse a fin de garantizar la transparencia del proceso. Además, detalló que si el monto no llegara a algunas familias, se entregarían a una institución pública para la compra de equipos u otros implementos necesarios para atender la emergencia.
1- En Banca Móvil y Yape se ha activado el botón #YoMeSumo, a través del cual se podrá donar cualquier monto. Hasta el momento se van donando S/ 375 mil por Yape y Banca Móvil. 2- También puedes donar a través de nuestra Banca por Internet a Cuenta Corriente en Soles, Razón social: Emergencia Sanitaria Marzo 2020, CCI: 002- 191- 002676242046-56 3- Si no eres cliente del BCP puedes hacer tu donación a través de una transferencia interbancaria en línea o diferida a Cuenta Corriente en Soles, Razón social: Emergencia Sanitaria Marzo 2020, CCI: 002- 191- 002676242046-56
""No se está haciendo nada"": Richard Arce alerta que el Perú atraviesa una espiral de violencia y denuncia la falta de acción del Gobierno
Loreto: banda delictiva asaltó recreo campestre de cantante Esaud Suárez y se llevó equipos de sonido valorizados en S/10 000
Osiptel aprueba medidas temporales para fortalecer la seguridad en la contratación del servicio público móvil
Madre de bebé secuestrado en Ica: ""Me siento insegura, para mí hay implicados en el hospital""
¡Atención! Actualmente hay 89 playas no saludables y solo 42 saludables en el Perú, según Digesa
""No se está haciendo nada"": Richard Arce alerta que el Perú atraviesa una espiral de violencia y denuncia la falta de acción del Gobierno
MML aprueba ordenanza para establecer sanciones más fuertes contra los almacenes informales del centro histórico de Lima",Yape,20.0,GDELT
BCP dona S / 100 millones para familias afectadas por el coronavirus,panamericana.pe,https://panamericana.pe/24horas/locales/289382-bcp-dona-s-100-millones-familias-afectadas-coronavirus,2020-03-24 07:15:00+00:00,"BCP dona S/100 millones para familias afectadas por el coronavirus
La iniciativa busca que todos los peruanos y empresas que puedan ayudar apoyen a quienes hoy la pandemia del coronavirus los golpea más fuerte.
La iniciativa busca que todos los peruanos y empresas que puedan ayudar apoyen a quienes hoy la pandemia del coronavirus los golpea más fuerte.
El Banco de Crédito del Perú informó que donará 100 millones de soles destinados a familias afectadas por el COVID-19, especialmente a las 3 millones de familias en situación de pobreza y pobreza extrema, con el fin de ayudar a las poblaciones más vulnerables de nuestro país.
La entidad financiera indicó que si usted desea sumarse a esta iniciativa, tenga en cuenta el banco pondrá a disposición todos sus canales digitales: banca por Internet, banca móvil y Yape en donde estará la opción de donación “#YoMeSumo” y usted seleccionara el monto con el que desea contribuir. Recuerde que si es cliente de otros bancos también podrá contribuir.
Desbloquea las notificaciones",Yape,10.0,GDELT
Coronavirus en Perú : ¿ Cómo unirte a la campaña # YoMeSumo y donar a los más necesitados durante el aislamiento nacional ? Economía,peru21.pe,https://peru21.pe/economia/coronavirus-en-peru-como-unirte-a-la-campana-yomesumo-y-donar-a-los-mas-necesitados-durante-el-aislamiento-nacional-noticia/,2020-03-25 03:15:00+00:00,"El Banco de Crédito del Perú lanzó la iniciativa de recaudación de fondos #YoMeSumo, con una donación inmediata de 100 millones de soles para las familias afectadas por el COVID-19, sobre todo para las 3 millones de familias en situación de pobreza y extrema pobreza.
A través de esta campaña, la entidad bancaria invitó a otras empresas del sector privado y a personas naturales a que se unan a esta cruzada que busca beneficiar a los peruanos que no pueden generar ingresos y solventar a sus familias durante el actual estado de emergencia sanitaria.
Este fondo, del cual el BCP no se beneficiará tributariamente, ha sido puesto a disposición (desde el martes 23 de marzo hasta el 15 de abril) en todos sus canales digitales para que aquellos que quieren ayudar (empresas o personas) lo puedan hacer desde sus domicilios y respetando el estado de emergencia.
¿CÓMO ME UNO A #YOMESUMO?
-En Banca Móvil y Yape se ha activado el botón #YoMeSumo, a través del cual se podrá donar cualquier monto. Hasta el momento se van donando S/ 375 mil por Yape y Banca Móvil.
-También puedes donar a través de nuestra Banca por Internet a Cuenta Corriente en Soles, Razón social: Emergencia Sanitaria Marzo 2020, CCI: 002- 191- 002676242046-56
-Si no eres cliente del BCP puedes hacer tu donación a través de una transferencia interbancaria en línea o diferida a Cuenta Corriente en Soles, Razón social: Emergencia Sanitaria Marzo 2020, CCI: 002- 191- 002676242046-56
¿CÓMO FUNCIONA EL FONDO?
Una vez recaudados los fondos, toda la donación y la de todos los peruanos se entregará a las 2.8 millones de familias que viven en estado de pobreza y pobreza extrema en el Perú.
Con el fin de no duplicar los esfuerzos que viene haciendo el Estado en la entrega del bono a las familias afectadas, el BCP utilizará su acceso a la lista de beneficiarios gracias a su trabajo como canalizador del subsidio del Ministerio de Desarrollo e Inclusión Social.
De acuerdo a la entidad bancaria, todo el monto recaudado y su uso y entrega estarán sujetos a una auditoría de Price WaterHouse para garantizar una mayor transparencia en el proceso.
Si, por alguna razón, esa ayuda no pudiese llegar a algunas familias, los fondos restantes serán entregados a la institución pública que más lo requiera para la compra de equipos u otros implementos necesarios para atender esta emergencia sanitaria.",Yape,20.0,GDELT
Promueven colecta on - line por animales rescatados,diariocorreo.pe,https://diariocorreo.pe/edicion/arequipa/promueven-colecta-line-por-animales-rescatados-937961/,2020-04-24 04:45:00+00:00,"La Asociación Protectora de Animales Sensibilidad y Conciencia Animal Perú (SCANPE), en conjunto con la Asociación Tierra Sur, realizan la colecta pública on- line Banco de alimentos para animales hasta el 6 de mayo, para atender a 600 canes y 60 gatos rescatados de la calle o que fueron maltratados, en Arequipa.
Las mascotas se encuentran cobijadas en 13 asociaciones, albergues o refugios, gracias a rescatistas independientes que los alimentaban con donaciones y con actividades como rifas y ferias de adopciones. Pero ahora, debido a la cuarentena por el coronavirus, todo se suspendió y varias personas que asumían este aporte han dejado de hacerlo.
APOYO. Ángela Gárate Santos, presidenta de la SCANPE en Arequipa, informó que esta campaña nació en Lima con la Asociación ASPPA y se replica en la Ciudad Blanca porque, debido a la emergencia sanitaria y al aislamiento social obligatorio, estos albergues se han visto afectados por el desabastecimiento de alimentos para los animales que protegen.
“Todo aporte suma desde, dos soles a más, en un principio planteamos que fueran alimentos, pero se descartó por la cuarentena, es más sencillo donar desde el celular, lo único que pedimos es apoyo”, dijo.
Antes de la pandemia, la sobrepoblación canina y felina era una problema de salud pública, pero ahora se suma incluso el incremento de abandono de los animales por el falso temor que las mascotas puedan contagiar el COVID-19.
La labor de los albergues se puede ver en la Fanpage de Facebook “SCANPE Perú”. Cualquier tipo de ayuda puede hacerse a través de la cuenta en soles BCP:215-98349512-0-36, YAPE 996924220; cuenta en soles Scotiabank: 1290128600 o PLIN (BBVA Continental - Interbank): 971487024.
DATO.La campaña también se realizó en Piura, y Tacna, dijo Ángela Gárate. En Arequipa arrancó el 17 de abril y termina el 6 de mayo.",Yape,10.0,GDELT
Paolo Guerrero y Alondra García Miró aparecen juntos por primera vez en redes sociales,ojo.pe,https://ojo.pe/ojo-show/paolo-guerrero-y-alondra-garcia-miro-aparecen-juntos-por-primera-vez-en-redes-sociales-web-ojo-noticia/,2020-04-09 01:15:00+00:00,"La pareja del momento, Paolo Guerrero y Alondra García Miró se animaron a oficializar por fin su romance en medio de la cuarentena por el coronavirus.
Los novios hicieron una transmisión en vivo desde su casa en Brasil y se conectaron con el padre Omar Buenaventura quien se encuentra ayudando a los más necesitados en Lurín.
Paolo y Alondra se unieron a la noble causa del padre Omar y por ello conversaron con él para lanzar la campaña de apoyo.
La meta es llegar al millón y medio de soles, los cuales conseguirán con el apoyo de todos. De esta manera el dinero se canalizará en canastas de víveres con los que el padre ya está apoyando.
“Lo que vamos a hacer es unir fuerzas, creando esta campaña, para que no dejemos de donar y ayudar. Le mandamos un abrazo padre y ojalá que se pueda sumar mucha gente, necesitamos de todo el Perú. El Perú cuando se une consigue grandes cosas, una mano al corazón y ayudar en todo lo que se pueda, estamos ahí padre”, dijo el capitán de la selección peruana.
“Hay gente de buen corazón que va a apoyar y se va a sumar a la causa”, agregó Alondra quien reveló que desde hace varias semanas pensaba junto a su novio cómo ayudar a los peruanos.
Las colaboraciones a esta campaña de Paolo Guerrero, Alondra García Miró y el padre Omar se pueden hacer por Yape al número 978183000.",Yape,10.0,GDELT
Alondra y Paolo Guerrero inician campaña para ayudar a los más afectador por coronavirus,americatv.com.pe,https://www.americatv.com.pe/noticias/espectaculos/alondra-garcia-miro-y-paolo-guerrero-comienzan-campana-ayudar-mas-afectador-coronavirus-n410610,2020-04-09 16:00:00+00:00,"Alondra y Paolo Guerrero inician campaña para ayudar a los más afectador por coronavirus
Alondra y Paolo realizaron una transmisión en vivo con el padre Omar Buenaventura
Desde Brasil, Paolo Guerrero y Alondra García Miró iniciaron una campaña para ayudar a los más afectados por el coronavirus. La tarde del último miércoles, el futbolista y la modelo realizaron una transmisión en vivo con el padre Omar Buenaventura, coordinador de Cáritas Lurín.
El fin de esta campaña es llevar canastas a las familias más necesitadas que no pueden trabajar debido a la pandemia.
“Espero que todos se encuentre bien pese a los momentos difíciles. Es complicado, pero espero que todos se encuentren bien de salud, también quiero agradecer al personal de salud, a los policías, a los bomberos y a todos los que nos ayudan a seguir adelante. No suelo hacer ‘en vivos’, pero esta causa lo merece”, se le escucha decir a Paolo.
“Queremos contarles a todos que uniremos fuerzas junto al padre para hacer otra campaña, esperemos que podamos lograrlo. La idea es no dejar de donar”, añadió Alondra.
El padre Omar indició que había repartido 45 mil canastas a las familias más necesitadas y que espera el apoyo de todos para continuar con su labor.
“La idea era inicialmente hacer 5 mil canastas para la gente de la zona, luego se fue sumando gente y hoy hemos repartido 45 mil canastas, no solo por aquí sino a otras partes de Lima y eso es gratificante”, comentó el padre, quien espera reunir 100 mil canastas y un millón y medio de soles.
Para todos los que deseen ayudar, pueden hacerlo mediante Yape al 978183000.",Yape,10.0,GDELT
Minagri : Lanzan campaña Ellos también nos necesitan para apoyar a fauna silvestre por coronavirus,elpopular.pe,https://elpopular.pe/actualidad/2020/04/15/minagri-lanzan-campana-tambien-nos-necesitan-apoyar-fauna-silvestre-coronavirus-serfor-8507,2020-04-15 08:30:00+00:00,"Lanzan campaña 'Ellos también nos necesitan' para apoyar a fauna por coronavirus
Minagri, a través de Serfor, busca solventar alimentación y cuidado de animales silvestres en criaderos, que se han visto afectados por ausencia de público debido a la cuarentena.
Únete al canal de Whatsapp de El Popular- ¿Confirman paro de transportistas de 48 horas para este lunes 24 de noviembre? Esto dicen los gremios
- CONFIRMADO | Estas son las ZONAS del MASIVO corte de agua que golpeará a 11 distritos del 24 al 29 de noviembre, según Sedapar
Los ejemplares de fauna silvestre que viven en los 143 centros de cría del país también sufren por el coronavirus en Perú. El Ministerio de Agricultura lanza una campaña solidaria para ayudar a mantener a los animales que se ven afectados por la cuarentena.
En zoológicos, zoocriaderos, centros de rescate y similares, se albergan animales silvestres que se ven afectados por la ausencia del público, ya que este constituía el principal fuente de ingreso para la solvencia de alimentación de estos seres vivos.
LEE MÁS: Gobierno crea equipo Te Cuido Perú para asistencia de afectados por COVID-19
Por esa razón, se lanza la iniciativa denominada Ellos también nos necesitan, producto de un esfuerzo conjunto entre el Minagri, a través del Servicio Nacional Forestal y de Fauna Silvestre (Serfor), y el Fondo de Promoción de las Áreas Naturales Protegidas del Perú (Profonanpe).
Con ello se busca la solidaridad de la población, instituciones y empresas con el objetivo de recaudar fondos, que serán administrados por Profonanpe, una entidad privada sin fines de lucro especializada en la captación y administración de recursos financieros destinados a la conservación de la biodiversidad.
PUEDES VER: Villa María del Triunfo: Asesinan vizcachas en zona protegida [FOTOS]
¿Cómo donar?
Las donaciones se canalizan a través de las cuentas bancarias del Banco de Crédito del Perú (BCP), en soles 191-98302549-0-02, y dólares 191-98302554-1-07, que serán destinados a la alimentación y el cuidado de la fauna silvestre ubicados en los centros de cría.
Las donaciones también se podrán recibir a través del aplicativo Yape, que permite a personas naturales y empresas realizar transferencias bancarias solo con el número de celular.
MIRA TAMBIÉN: Dictan dos años de prisión contra joven que crió caimanes como mascota
Centros de cría
Los 143 centros de cría están clasificados en 14 centros de rescate y 4 de conservación, 51 zoológicos, 66 zoocriaderos y 8 centros de custodia temporal, distribuidos en 19 regiones del país.
Estos establecimientos son aliados del Estado porque albergan a los animales silvestres rescatados del tráfico y mercado ilegal.",Yape,10.0,GDELT
