title,newspaper,url,published_at,plain_text,keyword,relevance_score,source
 ¿ Hasta cuando puedo cobrar el Bono Alimentario ? ,larazon.pe,https://larazon.pe/hasta-cuando-puedo-cobrar-el-bono-alimentario/,2023-01-03 03:15:00+00:00,"Apoyo económico alimentario de S/270 se podrá cobrar hasta el 30 de abril de 2023
El bono alimentario es un beneficio social económico de 270 soles por parte del gobierno peruano hacia 4.2 millones de personas . Las cuales se encuentran en condición de pobreza y pobreza extrema. Este subsidio se podrá cobrar hasta el 30 de abril de 2023. Pasado este plazo, el dinero transferido al Banco de la Nación retormará a la entidad de donde salió.
Esta ayuda monetaria se dio con el fin de apoyar a la población ante el alza de precios de productos de primera necesidad. Si deseas saber si eres acreedor de este beneficio, consulta con tu DNI, aquí: https://www.gob.pe/bonoalimentario.
Además podrás conocer más información sobre la fecha de pago que te corresponde o reportar si tienes problemas con tu bono.
Lee más:
Conoce a quiénes comprende la devolución de las aportaciones del Fonavi
Modalidades de pago del Bono Alimentario:
- Depósito en cuenta: Si tienes una cuenta en el Banco de la Nación o en alguna otra entidad financiera, el Bono Alimentario se depositará automáticamente en tu cuenta, según corresponda el cronograma de pagos.
- Billetera digital: Para cobrar por Yape, Tunki o Agora PAY, necesitarás contar con un celular de gama media con línea a tu nombre.
- Carritos pagadores: Los carritos pagadores o empresas transportadoras de valores (ETV) llegarán a las localidades más alejadas del país, especialmente de la sierra y selva, donde no existen entidades financieras.
- Pago en agencias bancarias: Este subsidio se entregará en las agencias del Banco de la Nación a través de sus ventanillas, únicamente a las personas que no tienen cuenta de bancos o entidades financieras, o tampoco tienen una línea celular a su nombre.
Algunos de los bonos para este 2023
Se encuentran el «Bono ONP de 350 soles» el cual va dirigido a los pensionistas que cobran bajo modalidad de domicilio. Se les otorgará el bono junto con la pensión del mes de enero. Otro de los bonos es el «Bono docente» de S/950 y S/1,250. Sin embargo, la fecha de entrega aún no ha sido anunciada.","Yape, Yapear, Yapeo",10.0,GDELT
Banco de la Nación suspendió servicio de Yape :... ,panamericana.pe,https://panamericana.pe/locales/369337-banco-nacion-suspendio-servicio-yape-abono-error-s-7-millones-clientes,2023-01-04 13:30:00+00:00,"En vísperas de Navidad el año pasado, el Banco de la Nación realizó retiros de las cuentas de 77 mil clientes por un error de la entidad financiera, pues según un reporte del portal Convoca, dicho banco confirmó que esos retiros se realizaron mientras se buscaba recuperar más de S/7 millones que se depositaron erróneamente a través del aplicativo Yape.
EVENTO EXCEPCIONAL TECNOLÓGICO
Este error en el depósito se habría venido generando sistemáticamente desde hace más de un año, por ello fue calificado de “evento excepcional tecnológico”. Según reclamos en las redes sociales de la entidad financiera, el problema se generó desde el pasado 22 de diciembre y aún no se ha solucionado para varios clientes que resultaron afectados por este descuento.
Algunos usuarios reportaron quejas porque pese a no haber recibido el doble depósito de Yape del banco se les realizó el denominado “Retiro en Efectivo por regularización”. Al respecto, Carlos Quevedo, subgerente de Gestión del Cliente del Banco de la Nación señaló que los clientes que no reconocen esta transacción están registrando sus reclamos y se les contestará según los procedimientos realizados internamente, siguiendo la normativa de al SBS.
En tanto, el banco anunció que el servicio de Yape se ha suspendido temporalmente hasta que se resuelvan los inconvenientes generados. Además, anunció que los usuarios podrán realizar transferencias y otras operaciones por medio de sus canales alternos como las app, banca por internet o banca celular.
Con información de RPP y Convoca.pe","Yape, Yapear, Yapeo",70.0,GDELT
Banco de la Nación suspendió temporalmente operaciones por Yape tras error millonario,peru-retail.com,https://www.peru-retail.com/banco-de-la-nacion-suspendio-temporalmente-operaciones-por-yape-tras-error-millonario/,2023-01-04 04:15:00+00:00,"El año pasado, en vísperas de Navidad, el Banco de la Nación realizó retiros en las cuentas de 77 mil clientes tras un error de la entidad financiera. Según un reporte del portal Convoca, la entidad bancaria confirmó que estos retiros se realizaron mientras se buscaba recuperar más de S/ 7 millones que habían sido depositados por error a través del aplicativo Yape.
El error de depósito se venía generado sistemáticamente desde hace más de un año por lo que clasifican de “evento excepcional tecnológico”. De acuerdo con los reclamos encontrados en las redes sociales de la entidad financiera, el problema viene generándose desde el pasado 22 de diciembre y aún no han sido solucionado para varios de los clientes afectados por este descuento.
LEA TAMBIÉN: BBVA inició cobro de comisión de S/ 2 y S/ 4 por retiros en cajero: ¿En qué consiste?
Los usuarios reportan que pese a no haber recibido el doble depósito de Yape que menciona el banco, se les realizó el denominado «Retiro en Efectivo por Regularización«.
«Estamos brindando la información en línea a aquellas personas que llaman y a las que se acercan a una oficina se les están brindando información de inmediato. Hay algunos clientes que no reconocen este tipo de transacciones. Están en su derecho de registrar un reclamo, se le contestará de acuerdo a los procedimientos realizados internamente y siguiendo la normativa de la SBS», dijo Carlos Quevedo, subgerente de Gestión del Cliente del Banco de la Nación, a Convoca.pe.
Banco de la Nación suspendió operación a través de Yape
Por el momento el Banco de la Nación indica que se han suspendido de manera temporal las operaciones a través de Yape. «Lamentamos los inconvenientes generados, estamos trabajando para reestablecer el servicio en el menor tiempo posible», señalan en un reciente comunicado.
El banco señala que sus usuarios pueden realizar transferencias y otras operaciones a través de sus canales alternos, como la app, banca por internet o banca celular.
LEA TAMBIÉN: ¿Cuál es el salario mensual de un empleado bancario en Scotiabank?
Cabe señalar que el Banco de la Nación tiene aproximadamente 5 millones de clientes en todo el Perú, la mayoría de los cuales son trabajadores del Estado, seguidos de pensionistas, jubilados y beneficiarios de programas sociales y bonos del Estado.
Además, cuenta con una minoría de usuarios independientes que abrieron cuentas de ahorro en distritos donde el Banco de la Nación es la única oferta bancaria.
Comunicado sobre operaciones realizadas a través de Yape. pic.twitter.com/w7bKp9DXmB
— Banco de la Nación (@BancodelaNacion) January 2, 2023","Yape, Yapear, Yapeo",70.0,GDELT
Banco de la Nación cancela operaciones por Yape,expreso.com.pe,https://www.expreso.com.pe/actualidad/banco-de-la-nacion-cancela-operaciones-por-yape/,2023-01-04 20:45:00+00:00,"Banco de la Nación cancela operaciones por Yape
Luego de que afectara ahorros de más de 70 mil clientes.
¡ATENCIÓN! El Banco de la Nación decidió suspender temporalmente sus operaciones por medio de la billetera digital Yape, luego de que afectara los ahorros de más de 70 mil clientes.
El número exacto de personas perjudicadas asciende a 77 mil, puesto que la financiera quiso recuperar más de 7 millones de soles depositados por error en el referido aplicativo, según Convoca.
De acuerdo con la institución, el fallo se produjo sistemáticamente hace más de un año, a raíz de un «evento excepcional tecnológico».
TAMBIÉN LEE: Frustran envío de 200 kilos de droga a Francia
«Lamentamos los inconvenientes generados. Estamos trabajando para reestablecer el servicio en el menor tiempo posible», se lee en un comunicado.
El Banco de la Nación precisó que, si bien los clientes afectados pueden registrar sus reclamos, las respuestas que reciban se basan en los procedimientos realizados internamente, además de la normativa de la Superintendencia de Banca y Seguros (SBS).
TE PUEDE INTERESAR:
💻 Nueva ley de teletrabajo reemplaza trabajo remotohttps://t.co/3rMZh9INQN
— Diario Expreso (@ExpresoPeru) January 4, 2023","Yape, Yapear, Yapeo",90.0,GDELT
Bono Alimentario de 270 soles vía Midis,larazon.pe,https://larazon.pe/bono-alimentario-de-270-soles-via-midis/,2023-01-06 20:45:00+00:00,"Ingresa con DNI y revisa en el link para saber si eres beneficiario del bono
¡Se continuará con el pago del Bono alimentario a todos sus beneficiarios en el 2023! Desde del 31 de octubre del 2022, el Ministerio de Desarrollo e Inclusión Social (Midis) anunció mediante
sus canales oficiales que los beneficiados de este nuevo subsidio del Gobierno del Perú ya pueden consultar si les toca cobrar los 270 soles que se les ha asignado desde este momento.
Para que sepas dónde, cómo y desde cuándo cobrar este apoyo monetario te dejamos todos los detalles y así puedas recibir este bono, el cual llegará a más de 4 millones de peruanos.
Recordemos que este Bono alimentario es una gestión que realizó el gobierno de Pedro Castillo a raíz del alza de precios de la canasta básica familiar desde el pasado mes de julio. La ayuda económica llegará a los hogares que se encuentren en situación de pobreza y pobreza extrema.
LINK
Para conocer todos los detalles de esta consulta con DNI, te dejamos el enlace oficial aquí: https://www.gob. pe/30727-consultar-si-te-corresponde-el-bono-alimentario
LLAMADA
Los beneficiarios del Bono alimentario pueden consultar más información llamando a la línea gratuita 101. Los horarios de atención para este canal será de lunes a sábado de 8:30 am a 5:30 pm, incluyendo los feriados y días no laborables.
PAGOS
Desde el lunes 31 de octubre del 2022, el Midis anunció que ya se encuentra disponible la plataforma para saber si te corresponde cobrar los 270 soles del bono alimentario
GRUPO 2
El apoyo económico de los 270 soles será entregado de manera excepcional y por única vez, y beneficiará a aproximadamente 4 millones 200 mil personas mayores de edad. Se hará mediante 4 modalidades.
Las categorías establecidas para que los beneficiarios cobren el Bono Alimentario guardan relación con el acceso a los métodos de pago, y las cuentas bancarias. En ese sentido, el Grupo 2 quedó integrado por los ciudadanos que habitan en comunidades alejadas de la ciuesta subvención en tu cuenta bancaria.
Para saber si te corresponde, ingresa el número de tu DNI y su fecha de emisión. Si necesitas mayor información, comunícate a la línea gratuita 101 o a través de las redes sociales de Midis y Pensión 65. Si eres una persona beneficiaria de este subsidio monetario individual de S/ 270.00, podrás recibirlo según las siguientes modalidades de pago hasta el 30 de abril de 2023.
¿CÓMO SE PAGA?
Depósito en cuenta Si tienes una cuenta en el Banco de la Nación o en alguna otra entidad financiera, el Bono Alimentario se depositará automáticamente en tu cuenta, según corresponda el cronograma de pagos. Así podrás retirarlo en cualquier momento a través de cajeros automáticos o agentes autorizados.
Billetera digital
Las billeteras digitales te permiten disponer de tu Bono Alimentario de manera virtual, para hacer compras o pagos en mercados, quioscos o taxis autorizados, sin tener contacto con dinero. También te permiten realizar retiros en cajeros y agentes del banco donde tienes tu billetera. Para cobrar, necesitarás contar con un celular de gama media con línea a tu nombre.
Carritos pagadores
Los carritos pagadores o empresas transportadoras de valores (ETV) llegarán a las localidades más alejadas del país, especialmente de la sierra y selva, donde no existen entidades financieras, para entregar el subsidio monetario a las personas beneficiarias en diversos puntos focalizados de las comunidades.
Agencias bancarias
Este subsidio se entregará en las agencias del Banco de la Nación a través de sus ventanillas, únicamente a las personas que no tienen cuenta de bancos o entidades financieras, o tampoco tienen una línea celular a su nombre. Se continuará pagando el 2023 en sus cuatro modalidades dad, y que cuentan con difícil acceso a un centro financiero.
La mayoría de personas que conforman este grupo prioritario viven en zonas altoandinas y de la selva peruana, y son asistidos por las plataformas fijas de los Tambos del Programa Nacional PAIS.
OTROS GRUPOS
El subsidio estatal se pagará con depósitos en cuenta bancaria, billeteras digitales, carritos pagadores, y de manera presencial en las ventanillas de agencias bancarias del Banco de la Nación (BN). Bajo estas modalidades de pago los grupos de beneficiarios quedaron establecidos de la siguiente forma:
– GRUPO 1
Las personas que sean beneficiarias del Bono Alimentario empezaron a recibir los 270 soles en sus cuentas bancarias o billeteras digitales como Yape, Tunki y Agora.
– GRUPO 3
Se dispuso que los beneficiarios integrantes de este grupo cobren el Bono Alimentario en las ventanillas del BN a nivel nacional. El pago se hará efectivo para personas que no tienen cuentas bancarias ni línea celular identificada, quienes deberán llamar al 101 para ser orientados.
– GRUPO 4
Este grupo beneficiario cobrará los 270 soles en billeteras digitales que deberán haber creado y aperturado. Esta modalidad está dirigida, también, para ciudadanos mayores de edad que no cuentan con cuentas bancarias.
EXCLUIDOS
La información compartida por el Midis, también, destaca y resalta que el pago del Bono Alimentario no incluirá a los ciudadanos que cumplan con funciones y cargos públicos. Estarán excluidos de poder recibir los 270 soles, las personas que se encuentren en la base de datos de las declaraciones juradas de autoridades y servidores públicos que es administrada por la Contraloría General de la República.
Asimismo, la restricción abarca a integrantes que sean congresistas, alcaldes de una municipalidad distrital o provincial, regidores, gobernadores, entre otros. Los beneficiarios no deben figurar en los registros de la planilla pública y privada.
JUNTOS, P-65 Y CONTIGO
Si perteneces a los programas nacionales Juntos, Pensión 65 y Contigo, ya recibiste","Yape, Yapear, Yapeo",10.0,GDELT
Protestantes en Juliaca no respetan ni a los gatos,expreso.com.pe,https://www.expreso.com.pe/polidatos/protestantes-en-juliaca-no-respetan-ni-a-los-gatos/,2023-01-08 08:00:00+00:00,"Protestantes en Juliaca no respetan ni a los gatos
Irracional la actitud de los manifestantes e infiltrados en la ciudad de Juliaca, que con el pretexto de sacar a la presidenta Dina Boluarte del poder, demuestran que no tienen respeto por la vida humana y atacan a civiles y policías sin piedad. Tampoco les importa la propiedad pública y privada, debido a que destrozan todo a su paso.
En la víspera, un video demuestra que estos manifestantes atacan a un joven que transitaba con su bicicleta, llevando a un gatito consigo, y como no se plegaba a la protesta lo atacaron y se ensañaron con el pobre felino que quedó muy mal herido. El llanto del joven conmovió a miles de personas, cuyo video se hizo viral.
CHAVIMOCHIC SIN GARANTÍAS I
El destrabe de la tercera etapa de Chavimochic está en la agenda del gobierno de Dina Boluarte. Recientemente, la ministra de Agricultura, Nelly Paredes, dijo a los medios que espera que, a más tardar en febrero próximo, se acepte el resultado del laudo arbitral que mantienen con el exconcesionario Consorcio Chavimochic, integrado por Novonor y Aenza. Lo cierto es que el resultado del laudo no fue lo que ambas partes querían. Ello, porque el Tribunal Arbitral dictaminó que, tanto el Estado como el exconcesionario, se paguen uno a otro US$ 25 millones.
CHAVIMOCHIC SIN GARANTÍAS II
Ante ello, y a pesar de que lo mejor sería que las partes queden “tas con tas”, el Estado buscaría cobrar su parte de los US$ 31 millones de la garantía que depositó el consorcio al momento de iniciar las obras de Chavimochic III. Así como lo lee. El Estado busca dejar sin garantía las obras avanzadas hasta el momento de un proyecto paralizado desde 2017 y que podría haber sufrido los embates del Fenómeno de la Niña.
SIN JUSTIFICACIÓN
El tema de recortar el mandato de las máximas autoridades del JNE y la ONPE sigue dando que hablar. Para la exministra de Justicia, Ana Neyra, ese proyecto es peligroso porque las pone a merced del poder político y, en este caso, proponen sacarlas sin ninguna justificación. Recordó que las bancadas que apoyan esta iniciativa formaron parte de una narrativa de un supuesto fraude; sin embargo, las elecciones de 2021 fueron certificadas por organismos internacionales como transparentes.
¿HUBO MALTRATO?
La congresista de Cambio Democrático, Ruth Luque, publicó en su cuenta de Twitter una foto con personas que –asegura- fueron liberadas tras ser detenidas durante las protestas en Lima. La legisladora cuestionó a los efectivos de la Comisaría de Cotabambas porque según –menciona- estas fueron maltratadas. “Ningún control de identidad amerita restringir libertad de una persona, hacer ello es vulnerar sus derechos, las personas refirieron haber sido maltratadas”, escribió.
MANTIENE LA DEFENSA
Luego de que varios abogados se ocuparan del caso del expresidente Pedro Castillo, ahora ha trascendido que el abogado Eduardo Pachas es quien mantiene la defensa legal del “chotano”. En ese sentido, el jurista señala que a su defendido le correspondía el antejuicio político en el Congreso de la República, antes del proceso de vacancia. Pachas ahora guarda perfil bajo para generar más “hinchazón” a tan complejo caso.
NI EN LA SOMBRA
Por otro lado, se sabe que los abogados ligados al congresista Guillermo Bermejo, que asumieron la defensa Pedro Castillo, como Ronald Atencio, jamás presentaron ante el Poder Judicial la documentación que los acreditaba como abogados del expresidente y nunca manifestaron donde se les tenía que notificar o al menos un número celular, por lo que varios juristas cuestionan la seriedad con que se asumió el caso.
RECUERDAN A BRUNO
Varios octogenarios apristas recuerdan que el exsecretario general de Palacio de Gobierno, Bruno Pacheco, era un asiduo concurrente a la Casa del Pueblo en la avenida Alfonso Ugarte en el verano de 1985, donde Alan García era el candidato de la estrella. De esta forma, en la vieja guardia aprista recuerdan que se trataba (en aquel entonces) de “un alegre simpatizante”.
EN ESPERA
Desde el Jurado Nacional de Elecciones nos informan que 15 partidos políticos están en proceso de inscripción. Transcendió que hay “nuevo partidos y viejos conocidos” como Virgilio Acuña, Martín Vizcarra y también Pedro Cateriano, quien parece que quiere “revivir” al ya casi olvidado “Partido Libertad” que postuló a Mario Vargas Llosa en 1990.
LAS INVERSIONES
Las decisiones de inversión en nuevos proyectos para este año se mantienen en stand by. El sector privado no invertirá el 2023. Por el lado del sector público, es común que al asumir nuevas autoridades en los gobiernos subnacionales, las inversiones y gastos se demoren algunos meses, mientras ellos aprenden la dinámica de trabajo del Estado. En este escenario, pues tendremos un primer semestre con inversión negativa y un segundo probablemente tendiendo a cero. Esto implica un golpe duro a la economía nacional.
“YA’PE”, QUÉ ABUSIVOS…
Acaba de trascender que, de agosto de 2020 a diciembre de 2022, más de 77 mil clientes del Banco de la Nación (BN) que mantenían sus cuentas afiliadas a la billetera digital “YAPE” (del banco de Crédito), habrían recibido –por error– transferencias duplicadas de dicho aplicativo. El problema es que el BN inició un sorpresivo proceso de “recuperación” del dinero del Estado, que superaba los siete millones de soles. En consecuencia, las decenas de miles de ahorristas se vieron afectados con el recorte súbito de sus montos en cuenta.
Lea la nota completa en nuestra versión impresa o en nuestra versión digital, AQUÍ.
Mira más contenidos siguiéndonos en Facebook, Twitter e Instagram, y únete a nuestro grupo de Telegram para recibir las noticias del momento.","Yape, Yapear, Yapeo",20.0,GDELT
 ¿ Cómo saber si soy acreedor del Bono Alimentario ? ,larazon.pe,https://larazon.pe/como-saber-si-soy-acreedor-del-bono-alimentario/,2023-01-08 02:00:00+00:00,"Ayuda monetaria se focaliza en grupos de situación económica vulnerable
El bono alimentario es un beneficio social económico de 270 soles por parte del gobierno peruano hacia 4.2 millones de personas . Las cuales se encuentran en condición de pobreza y pobreza extrema. Este subsidio se podrá cobrar hasta el 30 de abril de 2023. Pasado ese plazo, el dinero transferido al Banco de la Nación retornará a la entidad de donde salió.
Esta ayuda monetaria se dio con el fin de apoyar a la población ante el alza de precios de productos de primera necesidad. Si deseas saber si eres acreedor de este beneficio, consulta con tu DNI, aquí: https://www.gob.pe/bonoalimentario.
Además, podrás conocer más información sobre la fecha de pago que te corresponde o reportar si tienes problemas con tu bono. Sin embargo, si necesitas mayor información comunícate a la línea gratuita 101 o a través de las redes sociales de Midis y Pensión 65.
Requisitos para recibir el BONO ALIMENTARIO:
- Personas en situación de pobreza o pobreza extrema, según el Sistema de Focalización de Hogares (Sisfoh).
- Hogares sin ingresos ni de la planilla privada ni de la planilla pública, incluyendo a los pensionistas y a la modalidad formativa.
- Hogares cuyos ingresos no superen el monto de la remuneración mínima vital de S/ 1,025.00.
- Si perteneces a los programas nacionales Juntos, Pensión 65 y Contigo, ya recibiste esta subvención en tu cuenta bancaria en el mes de agosto de 2022.
Modalidades de pago del Bono Alimentario:
- Depósito en cuenta: Si tienes una cuenta en el Banco de la Nación o en alguna otra entidad financiera, el Bono Alimentario se depositará automáticamente en tu cuenta, según corresponda el cronograma de pagos.
- Billetera digital: Para cobrar por Yape, Tunki o Agora PAY, necesitarás contar con un celular de gama media con línea a tu nombre.
- Carritos pagadores: Los carritos pagadores o empresas transportadoras de valores (ETV) llegarán a las localidades más alejadas del país, especialmente de la sierra y selva, donde no existen entidades financieras.
- Pago en agencias bancarias: Este subsidio se entregará en las agencias del Banco de la Nación a través de sus ventanillas, únicamente a las personas que no tienen cuenta de bancos o entidades financieras, o tampoco tienen una línea celular a su nombre.
Lee más:","Yape, Yapear, Yapeo",10.0,GDELT
Arriba mi Gente : Madre busca un corazón para su hijo de 2 años,latina.pe,https://www.latina.pe/entretenimiento/arriba-mi-gente/arriba-mi-gente-madre-busca-un-corazon-para-su-hijo-de-2-anos,2023-01-11 17:30:00+00:00,"Momento complicado. Esta mañana, repasamos en Arriba mi Gente el caso del pequeño Elián, quien cuenta con un problema en el corazón. Su madre, Asunciona Vega, está en búsqueda de un trasplante de este órgano vital para poder permitir vivir a su hijo de apenas 1 año y 8 meses.
“Su corazón está muy grande. Me dijeron que él no iba a sobrevivir, que desde un inicio necesitaba un nuevo corazón”. Estas fueron las palabras de la madre del pequeño Elián, quien sostuvo que la búsqueda por el órgano que necesita su hijo es muy complicada.
Cabe destacar que si usted está dispuesto a ayudar al pequeño, estos son los números para poder brindarle soporte económico y en Arriba mi Gente los mostramos:
Yape: 923 720 117 (Asunciona Vega)
Cuenta BBVA: 0011 0316 0200 751 467","Yape, Yapear, Yapeo",10.0,GDELT
BCR estudia monedas digitales para su integración al sistema peruano,peru-retail.com,https://www.peru-retail.com/bcr-estudia-monedas-digitales-para-su-integracion-al-sistema-peruano/,2023-01-19 19:45:00+00:00,"El Banco Central de Reserva del Perú (BCR) se encuentra estudiando la aplicación de las monedas digitales en la economía. Según reveló Julio Velarde, presidente de la entidad, su integración permitiría impulsar la bancarización de peruanos no afiliados al sistema financiero.
Durante su intervención en el panel “Frente a la fragilidad: monedas digitales del banco central” de la Reunión Anual del Foro Económico Mundial (Foro de Davos) en Suiza, Velarde dio detalles sobre la investigación del BCR respecto a las divisas virtuales.
El banquero abrió el panel señalando que la motivación del BCR en explorar las monedas digitales tiene que ver con “hacer un sistema de pagos más eficiente”. “Vemos una moneda centralizada digital como una solución para las personas no bancarizadas. Si tenemos un record de todas sus transacciones será más fácil que tengan acceso al crédito. Hemos visto a muchas fintech que quieren acceder a esta información”, dijo Velarde en la conferencia del miércoles 18.
De acuerdo con el Instituto Nacional de Estadística e Informática (INEI), a nivel nacional solo el 54% de la población posee una cuenta en el sistema financiero. Es decir, hay un grueso 46% de peruanos que aún no están bancarizados, lo que los limita a acceder a financiamiento.
LEE TAMBIÉN: Economía peruana creció menos de 2,9% en el 2022, estima el BCR
La moneda digital que menciona Velarde viene siendo trabajada desde hace unos años por el BCR y es básicamente la versión digital de la moneda física de curso legal (el sol) y es un pasivo del banco central. Esta puede ponerse a disposición del público para que lleve a cabo el pago de transacciones de forma digital.
En concreto, la relación entre el BCR y las monedas digitales data desde 2021, cuando el banquero comentó sobre la posibilidad de que la entidad emita una para transacciones. El economista entonces agregó que el proyecto de la moneda digital está más avanzado frente a otros bancos centrales de países europeos, pero más retrasados que México y Brasil.
Velardo recordó en su ponencia durante el Foro de Davos que el avance de las billeteras electrónicas (como Yape y Plin) permitió acelerar la digitalización del sistema financiero peruano. Aun así, todavía hay mucho camino para el desarrollo de una moneda digital controlada. “No sabemos exactamente la fórmula. Estamos trabajando con el FMI en un proyecto piloto pequeño, pero es muy difícil saber qué pasará”, anotó.
Cabe mencionar que actualmente, tras la pandemia, cerca del 70% de la población ya usa las billeteras digitales para hacer transacciones.
LEE TAMBIÉN: Usuarios podrán realizar transferencias entre Yape y Plin
Consultado sobre cómo pueden trabajar los sectores públicos y privados en una moneda digital central, Velarde dijo: “El rol de los bancos centrales es regular los estándares, pero más del sector privado es la innovación. Ellos (los bancos del sector privado) van a ser los que van a innovar y crear nuevos productos. Eso es muy importante”, agregó. “Lo que es importante para el Banco Central es crear estos estándares y fomentar la competencia”, reforzó.
Velarde estuvo sentado a la par de expertos y funcionarios involucrados en finanzas digitales. Entre ellos Neha Narula, directora de la Iniciativa de Monedas Digitales del MIT Media Lab; Lieve Mostrey, CEO de Euroclear Group Management Committee; Lesetja Kganyago, presidente del Banco de la Reserva de Sudáfrica; Javier Perez Tasso, CEO de Swift; Amir Yaron, profesor de banca y finanzas en Wharton School; y Drew Propson, jefe de tecnología e innovación en servicios financieros en el WEF.","Yape, Yapear, Yapeo",20.0,GDELT
BCR prepara moneda digital para incluir a más peruanos en el sistema financiero,peru-retail.com,https://www.peru-retail.com/bcr-prepara-moneda-digital-para-incluir-a-mas-peruanos-en-el-sistema-financiero/,2023-01-20 00:15:00+00:00,"El Banco Central de Reserva del Perú (BCR) se encuentra estudiando la aplicación de las monedas digitales en la economía. Según reveló Julio Velarde, presidente de la entidad, su integración permitiría impulsar la bancarización de peruanos no afiliados al sistema financiero.
Durante su intervención en el panel «Frente a la fragilidad: monedas digitales del banco central» de la Reunión Anual del Foro Económico Mundial (Foro de Davos) en Suiza, Velarde dio detalles sobre la investigación del BCR respecto a las divisas virtuales.
El banquero abrió el panel señalando que la motivación del BCR en explorar las monedas digitales tiene que ver con «hacer un sistema de pagos más eficiente». «Vemos una moneda centralizada digital como una solución para las personas no bancarizadas. Si tenemos un record de todas sus transacciones será más fácil que tengan acceso al crédito. Hemos visto a muchas fintech que quieren acceder a esta información», dijo Velarde en la conferencia del miércoles 18.
De acuerdo con el Instituto Nacional de Estadística e Informática (INEI), a nivel nacional solo el 54% de la población posee una cuenta en el sistema financiero. Es decir, hay un grueso 46% de peruanos que aún no están bancarizados, lo que los limita a acceder a financiamiento.
LEE TAMBIÉN: Economía peruana creció menos de 2,9% en el 2022, estima el BCR
La moneda digital que menciona Velarde viene siendo trabajada desde hace unos años por el BCR y es básicamente la versión digital de la moneda física de curso legal (el sol) y es un pasivo del banco central. Esta puede ponerse a disposición del público para que lleve a cabo el pago de transacciones de forma digital.
En concreto, la relación entre el BCR y las monedas digitales data desde 2021, cuando el banquero comentó sobre la posibilidad de que la entidad emita una para transacciones. El economista entonces agregó que el proyecto de la moneda digital está más avanzado frente a otros bancos centrales de países europeos, pero más retrasados que México y Brasil.
Velardo recordó en su ponencia durante el Foro de Davos que el avance de las billeteras electrónicas (como Yape y Plin) permitió acelerar la digitalización del sistema financiero peruano. Aun así, todavía hay mucho camino para el desarrollo de una moneda digital controlada. «No sabemos exactamente la fórmula. Estamos trabajando con el FMI en un proyecto piloto pequeño, pero es muy difícil saber qué pasará», anotó.
Cabe mencionar que actualmente, tras la pandemia, cerca del 70% de la población ya usa las billeteras digitales para hacer transacciones.
LEE TAMBIÉN: Usuarios podrán realizar transferencias entre Yape y Plin
Consultado sobre cómo pueden trabajar los sectores públicos y privados en una moneda digital central, Velarde dijo: «El rol de los bancos centrales es regular los estándares, pero más del sector privado es la innovación. Ellos (los bancos del sector privado) van a ser los que van a innovar y crear nuevos productos. Eso es muy importante», agregó. «Lo que es importante para el Banco Central es crear estos estándares y fomentar la competencia», reforzó.
Velarde estuvo sentado a la par de expertos y funcionarios involucrados en finanzas digitales. Entre ellos Neha Narula, directora de la Iniciativa de Monedas Digitales del MIT Media Lab; Lieve Mostrey, CEO de Euroclear Group Management Committee; Lesetja Kganyago, presidente del Banco de la Reserva de Sudáfrica; Javier Perez Tasso, CEO de Swift; Amir Yaron, profesor de banca y finanzas en Wharton School; y Drew Propson, jefe de tecnología e innovación en servicios financieros en el WEF.","Yape, Yapear, Yapeo",20.0,GDELT
